FID;PHOTO_URL;LATITUDE;LONGITUDE;ALTITUDE;DIRECTION;DATUM;SYMBOLOGIE;DATE;NOM_PHOTO
22;https://diffusion.mffp.gouv.qc.ca/Diffusion/DonneeGratuite/Foret/DONNEES_FOR_ECO_NORD/Photos_Nord/_1116284.jpg;54,561630000000001;-67,650184999999993;3070,865999999999985;0,000000000000000;WGS 84;2012;2012-07-10 00:00:00;_1116284.jpg
23;https://diffusion.mffp.gouv.qc.ca/Diffusion/DonneeGratuite/Foret/DONNEES_FOR_ECO_NORD/Photos_Nord/_1116288.jpg;54,573671666599999;-67,608021666599996;3034,777000000000044;0,000000000000000;WGS 84;2012;2012-07-10 00:00:00;_1116288.jpg
24;https://diffusion.mffp.gouv.qc.ca/Diffusion/DonneeGratuite/Foret/DONNEES_FOR_ECO_NORD/Photos_Nord/_1116289.jpg;54,575226666600003;-67,603043333299993;3028,215000000000146;0,000000000000000;WGS 84;2012;2012-07-10 00:00:00;_1116289.jpg
25;https://diffusion.mffp.gouv.qc.ca/Diffusion/DonneeGratuite/Foret/DONNEES_FOR_ECO_NORD/Photos_Nord/_1116290.jpg;54,577748333300001;-67,594690000000000;3044,619000000000142;0,000000000000000;WGS 84;2012;2012-07-10 00:00:00;_1116290.jpg
26;https://diffusion.mffp.gouv.qc.ca/Diffusion/DonneeGratuite/Foret/DONNEES_FOR_ECO_NORD/Photos_Nord/_1116291.jpg;54,579259999999998;-67,589618333299995;3070,865999999999985;0,000000000000000;WGS 84;2012;2012-07-10 00:00:00;_1116291.jpg
27;https://diffusion.mffp.gouv.qc.ca/Diffusion/DonneeGratuite/Foret/DONNEES_FOR_ECO_NORD/Photos_Nord/_1116295.jpg;54,594308333299999;-67,542834999999997;3149,606000000000222;0,000000000000000;WGS 84;2012;2012-07-10 00:00:00;_1116295.jpg
28;https://diffusion.mffp.gouv.qc.ca/Diffusion/DonneeGratuite/Foret/DONNEES_FOR_ECO_NORD/Photos_Nord/_1116296.jpg;54,595498333300000;-67,540118333300001;3143,045000000000073;0,000000000000000;WGS 84;2012;2012-07-10 00:00:00;_1116296.jpg
29;https://diffusion.mffp.gouv.qc.ca/Diffusion/DonneeGratuite/Foret/DONNEES_FOR_ECO_NORD/Photos_Nord/_1116297.jpg;54,678688333300002;-67,279641666600000;3290,681999999999789;0,000000000000000;WGS 84;2012;2012-07-10 00:00:00;_1116297.jpg
30;https://diffusion.mffp.gouv.qc.ca/Diffusion/DonneeGratuite/Foret/DONNEES_FOR_ECO_NORD/Photos_Nord/_1116298.jpg;54,682340000000003;-67,266106666599995;3284,121000000000095;0,000000000000000;WGS 84;2012;2012-07-10 00:00:00;_1116298.jpg
31;https://diffusion.mffp.gouv.qc.ca/Diffusion/DonneeGratuite/Foret/DONNEES_FOR_ECO_NORD/Photos_Nord/_1116300.jpg;54,728381666600001;-67,111980000000003;3166,010000000000218;0,000000000000000;WGS 84;2012;2012-07-10 00:00:00;_1116300.jpg
32;https://diffusion.mffp.gouv.qc.ca/Diffusion/DonneeGratuite/Foret/DONNEES_FOR_ECO_NORD/Photos_Nord/_1116304.jpg;54,745055000000001;-67,052263333300004;2975,722000000000207;0,000000000000000;WGS 84;2012;2012-07-10 00:00:00;_1116304.jpg
33;https://diffusion.mffp.gouv.qc.ca/Diffusion/DonneeGratuite/Foret/DONNEES_FOR_ECO_NORD/Photos_Nord/_1116305.jpg;54,747693333299999;-67,041754999999995;2959,318000000000211;0,000000000000000;WGS 84;2012;2012-07-10 00:00:00;_1116305.jpg
34;https://diffusion.mffp.gouv.qc.ca/Diffusion/DonneeGratuite/Foret/DONNEES_FOR_ECO_NORD/Photos_Nord/_1116306.jpg;54,749018333300000;-67,036508333300006;2949,474999999999909;0,000000000000000;WGS 84;2012;2012-07-10 00:00:00;_1116306.jpg
35;https://diffusion.mffp.gouv.qc.ca/Diffusion/DonneeGratuite/Foret/DONNEES_FOR_ECO_NORD/Photos_Nord/_1116309.jpg;54,753520000000002;-67,019303333300002;2939,632999999999811;0,000000000000000;WGS 84;2012;2012-07-10 00:00:00;_1116309.jpg
36;https://diffusion.mffp.gouv.qc.ca/Diffusion/DonneeGratuite/Foret/DONNEES_FOR_ECO_NORD/Photos_Nord/_1116318.jpg;54,774151666599998;-66,943340000000006;2834,646000000000186;0,000000000000000;WGS 84;2012;2012-07-10 00:00:00;_1116318.jpg
37;https://diffusion.mffp.gouv.qc.ca/Diffusion/DonneeGratuite/Foret/DONNEES_FOR_ECO_NORD/Photos_Nord/_3020243.jpg;52,878336666599999;-76,883263333299993;2165,353999999999814;345,199999999999989;WGS 84;2012;2012-06-20 00:00:00;_3020243.jpg
38;https://diffusion.mffp.gouv.qc.ca/Diffusion/DonneeGratuite/Foret/DONNEES_FOR_ECO_NORD/Photos_Nord/_3020244.jpg;52,879256666600000;-76,884228333300001;2171,916000000000167;345,399999999999977;WGS 84;2012;2012-06-20 00:00:00;_3020244.jpg
39;https://diffusion.mffp.gouv.qc.ca/Diffusion/DonneeGratuite/Foret/DONNEES_FOR_ECO_NORD/Photos_Nord/_3020245.jpg;52,895159999999997;-76,899911666600005;2171,916000000000167;346,000000000000000;WGS 84;2012;2012-06-20 00:00:00;_3020245.jpg
40;https://diffusion.mffp.gouv.qc.ca/Diffusion/DonneeGratuite/Foret/DONNEES_FOR_ECO_NORD/Photos_Nord/_3020247.jpg;52,972516666600001;-76,987951666599997;2080,052000000000135;344,800000000000011;WGS 84;2012;2012-06-20 00:00:00;_3020247.jpg
41;https://diffusion.mffp.gouv.qc.ca/Diffusion/DonneeGratuite/Foret/DONNEES_FOR_ECO_NORD/Photos_Nord/_3020249.jpg;52,978774999999999;-76,994309999999999;2106,298999999999978;345,500000000000000;WGS 84;2012;2012-06-20 00:00:00;_3020249.jpg
42;https://diffusion.mffp.gouv.qc.ca/Diffusion/DonneeGratuite/Foret/DONNEES_FOR_ECO_NORD/Photos_Nord/_3020251.jpg;52,985273333300000;-77,000979999999998;2106,298999999999978;346,500000000000000;WGS 84;2012;2012-06-20 00:00:00;_3020251.jpg
43;https://diffusion.mffp.gouv.qc.ca/Diffusion/DonneeGratuite/Foret/DONNEES_FOR_ECO_NORD/Photos_Nord/_3020252.jpg;52,988021666599998;-77,003659999999996;2125,983999999999924;347,199999999999989;WGS 84;2012;2012-06-20 00:00:00;_3020252.jpg
44;https://diffusion.mffp.gouv.qc.ca/Diffusion/DonneeGratuite/Foret/DONNEES_FOR_ECO_NORD/Photos_Nord/_3020253.jpg;52,989874999999998;-77,005449999999996;2109,579999999999927;347,600000000000023;WGS 84;2012;2012-06-20 00:00:00;_3020253.jpg
45;https://diffusion.mffp.gouv.qc.ca/Diffusion/DonneeGratuite/Foret/DONNEES_FOR_ECO_NORD/Photos_Nord/_3020254.jpg;53,012500000000003;-77,024064999999993;2027,558999999999969;353,100000000000023;WGS 84;2012;2012-06-20 00:00:00;_3020254.jpg
46;https://diffusion.mffp.gouv.qc.ca/Diffusion/DonneeGratuite/Foret/DONNEES_FOR_ECO_NORD/Photos_Nord/_3020255.jpg;53,012500000000003;-77,024064999999993;2030,839999999999918;353,100000000000023;WGS 84;2012;2012-06-20 00:00:00;_3020255.jpg
47;https://diffusion.mffp.gouv.qc.ca/Diffusion/DonneeGratuite/Foret/DONNEES_FOR_ECO_NORD/Photos_Nord/_3020257.jpg;53,040975000000003;-77,049163333300001;2011,154999999999973;348,800000000000011;WGS 84;2012;2012-06-20 00:00:00;_3020257.jpg
48;https://diffusion.mffp.gouv.qc.ca/Diffusion/DonneeGratuite/Foret/DONNEES_FOR_ECO_NORD/Photos_Nord/_3020258.jpg;53,042821666599998;-77,050825000000003;2027,558999999999969;348,800000000000011;WGS 84;2012;2012-06-20 00:00:00;_3020258.jpg
49;https://diffusion.mffp.gouv.qc.ca/Diffusion/DonneeGratuite/Foret/DONNEES_FOR_ECO_NORD/Photos_Nord/_3020259.jpg;53,043733333299997;-77,051635000000005;2030,839999999999918;349,199999999999989;WGS 84;2012;2012-06-20 00:00:00;_3020259.jpg
50;https://diffusion.mffp.gouv.qc.ca/Diffusion/DonneeGratuite/Foret/DONNEES_FOR_ECO_NORD/Photos_Nord/_3020260.jpg;53,045556666600000;-77,053308333299995;2017,717000000000098;348,600000000000023;WGS 84;2012;2012-06-20 00:00:00;_3020260.jpg
51;https://diffusion.mffp.gouv.qc.ca/Diffusion/DonneeGratuite/Foret/DONNEES_FOR_ECO_NORD/Photos_Nord/_3020261.jpg;53,048286666599999;-77,055976666600003;2024,278000000000020;347,300000000000011;WGS 84;2012;2012-06-20 00:00:00;_3020261.jpg
52;https://diffusion.mffp.gouv.qc.ca/Diffusion/DonneeGratuite/Foret/DONNEES_FOR_ECO_NORD/Photos_Nord/_3020262.jpg;53,068331666600002;-77,075208333299997;2037,402000000000044;342,100000000000023;WGS 84;2012;2012-06-20 00:00:00;_3020262.jpg
53;https://diffusion.mffp.gouv.qc.ca/Diffusion/DonneeGratuite/Foret/DONNEES_FOR_ECO_NORD/Photos_Nord/_3020263.jpg;53,076528333299997;-77,084303333299999;2024,278000000000020;344,399999999999977;WGS 84;2012;2012-06-20 00:00:00;_3020263.jpg
54;https://diffusion.mffp.gouv.qc.ca/Diffusion/DonneeGratuite/Foret/DONNEES_FOR_ECO_NORD/Photos_Nord/_3020264.jpg;53,098818333300002;-77,109103333299998;1975,066000000000031;343,300000000000011;WGS 84;2012;2012-06-20 00:00:00;_3020264.jpg
55;https://diffusion.mffp.gouv.qc.ca/Diffusion/DonneeGratuite/Foret/DONNEES_FOR_ECO_NORD/Photos_Nord/_3020265.jpg;53,100704999999998;-77,111198333299996;1945,538000000000011;343,800000000000011;WGS 84;2012;2012-06-20 00:00:00;_3020265.jpg
56;https://diffusion.mffp.gouv.qc.ca/Diffusion/DonneeGratuite/Foret/DONNEES_FOR_ECO_NORD/Photos_Nord/_3020266.jpg;53,107543333300001;-77,118008333299997;1932,414999999999964;347,500000000000000;WGS 84;2012;2012-06-20 00:00:00;_3020266.jpg
57;https://diffusion.mffp.gouv.qc.ca/Diffusion/DonneeGratuite/Foret/DONNEES_FOR_ECO_NORD/Photos_Nord/_3020267.jpg;53,110421666599997;-77,120935000000003;1925,853000000000065;345,100000000000023;WGS 84;2012;2012-06-20 00:00:00;_3020267.jpg
58;https://diffusion.mffp.gouv.qc.ca/Diffusion/DonneeGratuite/Foret/DONNEES_FOR_ECO_NORD/Photos_Nord/_3020268.jpg;53,143098333300003;-77,152829999999994;2073,490999999999985;347,699999999999989;WGS 84;2012;2012-06-20 00:00:00;_3020268.jpg
59;https://diffusion.mffp.gouv.qc.ca/Diffusion/DonneeGratuite/Foret/DONNEES_FOR_ECO_NORD/Photos_Nord/_3020269.jpg;53,148801666600001;-77,158098333300003;2034,121000000000095;349,100000000000023;WGS 84;2012;2012-06-20 00:00:00;_3020269.jpg
60;https://diffusion.mffp.gouv.qc.ca/Diffusion/DonneeGratuite/Foret/DONNEES_FOR_ECO_NORD/Photos_Nord/_3020270.jpg;53,149754999999999;-77,158941666600001;2030,839999999999918;348,899999999999977;WGS 84;2012;2012-06-20 00:00:00;_3020270.jpg
61;https://diffusion.mffp.gouv.qc.ca/Diffusion/DonneeGratuite/Foret/DONNEES_FOR_ECO_NORD/Photos_Nord/_3020271.jpg;53,150705000000002;-77,159756666600003;2030,839999999999918;349,500000000000000;WGS 84;2012;2012-06-20 00:00:00;_3020271.jpg
62;https://diffusion.mffp.gouv.qc.ca/Diffusion/DonneeGratuite/Foret/DONNEES_FOR_ECO_NORD/Photos_Nord/_3020272.jpg;53,153494999999999;-77,162018333299997;2080,052000000000135;351,899999999999977;WGS 84;2012;2012-06-20 00:00:00;_3020272.jpg
63;https://diffusion.mffp.gouv.qc.ca/Diffusion/DonneeGratuite/Foret/DONNEES_FOR_ECO_NORD/Photos_Nord/_3020273.jpg;53,158973333299997;-77,166235000000000;2099,737999999999829;352,600000000000023;WGS 84;2012;2012-06-20 00:00:00;_3020273.jpg
64;https://diffusion.mffp.gouv.qc.ca/Diffusion/DonneeGratuite/Foret/DONNEES_FOR_ECO_NORD/Photos_Nord/_3020274.jpg;53,160814999999999;-77,167658333299997;2112,860999999999876;352,699999999999989;WGS 84;2012;2012-06-20 00:00:00;_3020274.jpg
65;https://diffusion.mffp.gouv.qc.ca/Diffusion/DonneeGratuite/Foret/DONNEES_FOR_ECO_NORD/Photos_Nord/_3020275.jpg;53,161748333299997;-77,168363333299993;2125,983999999999924;352,899999999999977;WGS 84;2012;2012-06-20 00:00:00;_3020275.jpg
66;https://diffusion.mffp.gouv.qc.ca/Diffusion/DonneeGratuite/Foret/DONNEES_FOR_ECO_NORD/Photos_Nord/_3020276.jpg;53,162673333299999;-77,169081666599993;2139,108000000000175;352,399999999999977;WGS 84;2012;2012-06-20 00:00:00;_3020276.jpg
67;https://diffusion.mffp.gouv.qc.ca/Diffusion/DonneeGratuite/Foret/DONNEES_FOR_ECO_NORD/Photos_Nord/_3020277.jpg;53,167258333299998;-77,172633333299999;2168,635000000000218;352,600000000000023;WGS 84;2012;2012-06-20 00:00:00;_3020277.jpg
68;https://diffusion.mffp.gouv.qc.ca/Diffusion/DonneeGratuite/Foret/DONNEES_FOR_ECO_NORD/Photos_Nord/_3020278.jpg;53,168178333299998;-77,173325000000006;2168,635000000000218;352,699999999999989;WGS 84;2012;2012-06-20 00:00:00;_3020278.jpg
69;https://diffusion.mffp.gouv.qc.ca/Diffusion/DonneeGratuite/Foret/DONNEES_FOR_ECO_NORD/Photos_Nord/_3020279.jpg;53,198293333300001;-77,195316666599993;2270,340999999999894;354,399999999999977;WGS 84;2012;2012-06-20 00:00:00;_3020279.jpg
70;https://diffusion.mffp.gouv.qc.ca/Diffusion/DonneeGratuite/Foret/DONNEES_FOR_ECO_NORD/Photos_Nord/_3020280.jpg;53,199278333300001;-77,196013333300002;2280,184000000000196;354,899999999999977;WGS 84;2012;2012-06-20 00:00:00;_3020280.jpg
71;https://diffusion.mffp.gouv.qc.ca/Diffusion/DonneeGratuite/Foret/DONNEES_FOR_ECO_NORD/Photos_Nord/_3020281.jpg;53,199278333300001;-77,196013333300002;2280,184000000000196;354,899999999999977;WGS 84;2012;2012-06-20 00:00:00;_3020281.jpg
72;https://diffusion.mffp.gouv.qc.ca/Diffusion/DonneeGratuite/Foret/DONNEES_FOR_ECO_NORD/Photos_Nord/_3020282.jpg;53,205236666600001;-77,200026666599996;2316,273000000000138;354,199999999999989;WGS 84;2012;2012-06-20 00:00:00;_3020282.jpg
73;https://diffusion.mffp.gouv.qc.ca/Diffusion/DonneeGratuite/Foret/DONNEES_FOR_ECO_NORD/Photos_Nord/_3020283.jpg;53,248438333300001;-77,232136666599999;2401,574999999999818;352,800000000000011;WGS 84;2012;2012-06-20 00:00:00;_3020283.jpg
74;https://diffusion.mffp.gouv.qc.ca/Diffusion/DonneeGratuite/Foret/DONNEES_FOR_ECO_NORD/Photos_Nord/_3020284.jpg;53,271118333300002;-77,249215000000007;2440,945000000000164;351,600000000000023;WGS 84;2012;2012-06-20 00:00:00;_3020284.jpg
75;https://diffusion.mffp.gouv.qc.ca/Diffusion/DonneeGratuite/Foret/DONNEES_FOR_ECO_NORD/Photos_Nord/_3020285.jpg;53,303833333299998;-77,276081666600007;2342,519999999999982;354,500000000000000;WGS 84;2012;2012-06-20 00:00:00;_3020285.jpg
76;https://diffusion.mffp.gouv.qc.ca/Diffusion/DonneeGratuite/Foret/DONNEES_FOR_ECO_NORD/Photos_Nord/_3020286.jpg;53,323991666600001;-77,291068333300004;2335,958000000000084;351,500000000000000;WGS 84;2012;2012-06-20 00:00:00;_3020286.jpg
77;https://diffusion.mffp.gouv.qc.ca/Diffusion/DonneeGratuite/Foret/DONNEES_FOR_ECO_NORD/Photos_Nord/_3020287.jpg;53,341341666600002;-77,306358333299997;2349,081000000000131;347,199999999999989;WGS 84;2012;2012-06-20 00:00:00;_3020287.jpg
78;https://diffusion.mffp.gouv.qc.ca/Diffusion/DonneeGratuite/Foret/DONNEES_FOR_ECO_NORD/Photos_Nord/_3020288.jpg;53,342269999999999;-77,307281666600005;2349,081000000000131;346,899999999999977;WGS 84;2012;2012-06-20 00:00:00;_3020288.jpg
79;https://diffusion.mffp.gouv.qc.ca/Diffusion/DonneeGratuite/Foret/DONNEES_FOR_ECO_NORD/Photos_Nord/_3020289.jpg;53,345059999999997;-77,310128333300000;2335,958000000000084;345,500000000000000;WGS 84;2012;2012-06-20 00:00:00;_3020289.jpg
80;https://diffusion.mffp.gouv.qc.ca/Diffusion/DonneeGratuite/Foret/DONNEES_FOR_ECO_NORD/Photos_Nord/_3020290.jpg;53,358539999999998;-77,322991666600004;2358,923999999999978;349,399999999999977;WGS 84;2012;2012-06-20 00:00:00;_3020290.jpg
81;https://diffusion.mffp.gouv.qc.ca/Diffusion/DonneeGratuite/Foret/DONNEES_FOR_ECO_NORD/Photos_Nord/_3020292.jpg;53,362301666599997;-77,326831666600000;2378,608999999999924;344,600000000000023;WGS 84;2012;2012-06-20 00:00:00;_3020292.jpg
82;https://diffusion.mffp.gouv.qc.ca/Diffusion/DonneeGratuite/Foret/DONNEES_FOR_ECO_NORD/Photos_Nord/_3020293.jpg;53,363211666600002;-77,327846666599996;2391,731999999999971;343,600000000000023;WGS 84;2012;2012-06-20 00:00:00;_3020293.jpg
83;https://diffusion.mffp.gouv.qc.ca/Diffusion/DonneeGratuite/Foret/DONNEES_FOR_ECO_NORD/Photos_Nord/_3020294.jpg;53,403016666600003;-77,375349999999997;2280,184000000000196;342,699999999999989;WGS 84;2012;2012-06-20 00:00:00;_3020294.jpg
84;https://diffusion.mffp.gouv.qc.ca/Diffusion/DonneeGratuite/Foret/DONNEES_FOR_ECO_NORD/Photos_Nord/_3020296.jpg;53,408520000000003;-77,381583333300000;2267,059999999999945;343,399999999999977;WGS 84;2012;2012-06-20 00:00:00;_3020296.jpg
85;https://diffusion.mffp.gouv.qc.ca/Diffusion/DonneeGratuite/Foret/DONNEES_FOR_ECO_NORD/Photos_Nord/_3020297.jpg;53,409461666600002;-77,382631666600005;2273,621999999999844;343,800000000000011;WGS 84;2012;2012-06-20 00:00:00;_3020297.jpg
86;https://diffusion.mffp.gouv.qc.ca/Diffusion/DonneeGratuite/Foret/DONNEES_FOR_ECO_NORD/Photos_Nord/_3020298.jpg;53,448018333299999;-77,423393333299998;2142,387999999999920;341,500000000000000;WGS 84;2012;2012-06-20 00:00:00;_3020298.jpg
87;https://diffusion.mffp.gouv.qc.ca/Diffusion/DonneeGratuite/Foret/DONNEES_FOR_ECO_NORD/Photos_Nord/_3020299.jpg;53,459009999999999;-77,436863333299996;2148,949999999999818;342,899999999999977;WGS 84;2012;2012-06-20 00:00:00;_3020299.jpg
88;https://diffusion.mffp.gouv.qc.ca/Diffusion/DonneeGratuite/Foret/DONNEES_FOR_ECO_NORD/Photos_Nord/_3020300.jpg;53,459935000000002;-77,437981666599995;2139,108000000000175;342,300000000000011;WGS 84;2012;2012-06-20 00:00:00;_3020300.jpg
89;https://diffusion.mffp.gouv.qc.ca/Diffusion/DonneeGratuite/Foret/DONNEES_FOR_ECO_NORD/Photos_Nord/_3020301.jpg;53,476191666600002;-77,465933333300001;2063,648000000000138;327,300000000000011;WGS 84;2012;2012-06-20 00:00:00;_3020301.jpg
90;https://diffusion.mffp.gouv.qc.ca/Diffusion/DonneeGratuite/Foret/DONNEES_FOR_ECO_NORD/Photos_Nord/_3020302.jpg;53,500333333299999;-77,522665000000003;2208,005000000000109;320,600000000000023;WGS 84;2012;2012-06-20 00:00:00;_3020302.jpg
91;https://diffusion.mffp.gouv.qc.ca/Diffusion/DonneeGratuite/Foret/DONNEES_FOR_ECO_NORD/Photos_Nord/_3020304.jpg;53,530990000000003;-77,587541666600004;2125,983999999999924;329,399999999999977;WGS 84;2012;2012-06-20 00:00:00;_3020304.jpg
92;https://diffusion.mffp.gouv.qc.ca/Diffusion/DonneeGratuite/Foret/DONNEES_FOR_ECO_NORD/Photos_Nord/_3020305.jpg;53,553975000000001;-77,633678333299997;2014,435999999999922;325,699999999999989;WGS 84;2012;2012-06-20 00:00:00;_3020305.jpg
93;https://diffusion.mffp.gouv.qc.ca/Diffusion/DonneeGratuite/Foret/DONNEES_FOR_ECO_NORD/Photos_Nord/_3020306.jpg;53,555383333300000;-77,636633333299997;2011,154999999999973;326,199999999999989;WGS 84;2012;2012-06-20 00:00:00;_3020306.jpg
